商品名称,价格,厂商指导价,评分,评价数量,咨询数量,商品图片,专区,分类,国别,商品链接,商品编号,商品规格,主要原料,营养成分,适用对象,颗粒大小,口味配方,出厂保质期,重量,市场价
法国皇家Royal Canin 小型成犬粮 2kg,¥131.00,¥144.10,4.9,2632,12,//img-new.boqiicdn.com/Data/Shop/0/1/186/shoppicpath11567952046_y.jpg?imageView2/2/w/360/h/360/q/100/interlace/0,狗狗专区,狗狗主粮,国产粮,https://shop.boqii.com/product-186.html,100148,2kg,稻米、脱水家禽肉、玉米、动物脂肪、小麦麸质、甜菜浆、禽肝、脱水家,粗蛋白≥28%、粗脂肪≥13%、赖氨酸≥0.8%、钙≥1.1%、,10个月-8岁小型成犬,适中颗粒,禽肉混合口味,18个月,2.05KG,￥144.1
法国皇家Royal Canin 小型成犬粮 8kg,¥427.00,¥469.70,5.0,3380,20,//img-new.boqiicdn.com/Data/Shop/0/1/187/shoppicpath11568012436_y.jpg?imageView2/2/w/360/h/360/q/100/interlace/0,狗狗专区,狗狗主粮,国产粮,https://shop.boqii.com/product-187.html,100149,8kg,稻米、脱水家禽肉、玉米、动物脂肪、小麦麸质、甜菜浆、禽肝、脱水家,粗蛋白≥28%、粗脂肪≥13%、赖氨酸≥0.8%、钙≥1.1%、,10个月以上小型成犬,适中颗粒,禽肉混合口味,18个月,8.18KG,￥469.7
宝路Pedigree 牛肉高汤口味幼犬妙鲜包 85g 狗湿粮,¥3.90,¥4.30,4.8,907,1,//img-new.boqiicdn.com/Data/Shop/0/1/188/shoppicpath11583830158_y.jpg?imageView2/2/w/360/h/360/q/100/interlace/0,狗狗专区,狗狗零食,罐头湿粮,https://shop.boqii.com/product-188.html,111815,85g,,,幼犬,,鸡肉牛脾,2年,0.09KG,￥4.3
伟嘉 鸡肝味成猫妙鲜包 85g,¥3.90,¥4.30,4.9,531,0,//img-new.boqiicdn.com/Data/Shop/0/1/192/shoppicpath11582098325_y.jpg?imageView2/2/w/360/h/360/q/100/interlace/0,猫咪专区,猫咪零食,罐头湿粮,https://shop.boqii.com/product-192.html,142101,,,,成猫,,鸡肝,24个月,0.09KG,￥4.3
伟嘉 精选金枪鱼味成猫妙鲜包 85g,¥3.90,¥4.30,4.9,1365,2,//img-new.boqiicdn.com/Data/Shop/0/1/194/shoppicpath11582098966_y.jpg?imageView2/2/w/360/h/360/q/100/interlace/0,猫咪专区,猫咪零食,罐头湿粮,https://shop.boqii.com/product-194.html,142103,85g,,,成猫,,金枪鱼,2年,0.09KG,￥4.3
法国皇家Royal Canin 小型犬离乳期奶糕粮 3kg,¥241.00,¥265.10,4.9,2888,15,//img-new.boqiicdn.com/Data/Shop/0/4/485/shoppicpath11616392462_y.jpg?imageView2/2/w/360/h/360/q/100/interlace/0,狗狗专区,狗狗主粮,国产粮,https://shop.boqii.com/product-485.html,100152,1KG,鸡肉粉,,怀孕、哺乳期母犬和离乳期幼犬,定制三角形颗粒,,18个月,3.06KG,￥265.1
法国皇家Royal Canin 小型犬幼犬离乳期奶糕粮 1kg,¥90.00,¥99.00,4.9,4349,25,//img-new.boqiicdn.com/Data/Shop/0/4/487/shoppicpath11616383560_y.jpg?imageView2/2/w/360/h/360/q/100/interlace/0,狗狗专区,狗狗主粮,国产粮,https://shop.boqii.com/product-487.html,100151,1KG,,,怀孕、哺乳期母犬和离乳期幼犬,定制三角形,,18个月,1.04KG,￥99.0
法国皇家Royal Canin 室内成猫猫粮 2kg i27,¥153.00,¥168.30,5.0,7853,6,//img-new.boqiicdn.com/Data/Shop/0/4/497/shoppicpath11566290878_y.jpg?imageView2/2/w/360/h/360/q/100/interlace/0,猫咪专区,猫咪主粮,国产粮,https://shop.boqii.com/product-497.html,130141,2kg,鸡肉粉、鸡肉骨粉、鸭肉粉、鸭肉骨粉、大米、小麦、谷脘粉、鱼油、鸡,粗蛋白≥24%、粗脂肪≥11%、赖氨酸≥0.8%、钙≥0.8%、,1-7岁室内成猫,标准颗粒,禽肉鱼肉混合口味,18个月,2.07KG,￥168.3
法国皇家Royal Canin 理想体态营养成猫粮2kg F32,¥138.00,¥151.80,5.0,3147,0,//img-new.boqiicdn.com/Data/Shop/0/5/500/shoppicpath11566284902_y.jpg?imageView2/2/w/360/h/360/q/100/interlace/0,猫咪专区,猫咪主粮,国产粮,https://shop.boqii.com/product-500.html,130136,2kg,小麦、禽肉骨粉、谷脘粉、牛油、大米,粗蛋白≥24%、粗脂肪≥11%、赖氨酸≥0.8%、钙≥0.8%、,成猫,标准颗粒,禽肉鱼肉混合口味,18个月,2.05KG,￥151.8
法国皇家Royal Canin 去毛球成猫粮2kg IH34,¥219.00,¥240.90,4.9,1846,0,//img-new.boqiicdn.com/Data/Shop/0/5/508/shoppicpath11566285399_y.jpg?imageView2/2/w/360/h/360/q/100/interlace/0,猫咪专区,猫咪主粮,国产粮,https://shop.boqii.com/product-508.html,130139,2kg,小麦、禽肉骨粉、谷脘粉、牛油、大米,粗蛋白≥24%、粗脂肪≥11%、赖氨酸≥0.8%、钙≥0.8%、,成猫,标准颗粒,禽肉鱼肉混合口味,18个月,2.00KG,￥240.9
伟嘉 鸡肉味成猫猫粮 1.3kg,¥42.90,¥47.20,4.9,257,0,//img-new.boqiicdn.com/Data/Shop/0/5/530/shoppicpath11582095333_y.jpg?imageView2/2/w/360/h/360/q/100/interlace/0,猫咪专区,猫咪主粮,国产粮,https://shop.boqii.com/product-530.html,132109,1.3kg,谷物、精选肉类及肉粉、精制蛋白质粉,粗蛋白质≥26%、粗脂肪≥13%、钙≥1.2%,成猫,标准粒,鸡肉,18个月,1.33KG,￥47.2
伟嘉 吞拿鱼及三文鱼夹心酥成猫粮 1.3kg,¥42.90,¥47.20,4.9,459,0,//img-new.boqiicdn.com/Data/Shop/0/5/532/shoppicpath11582095793_y.jpg?imageView2/2/w/360/h/360/q/100/interlace/0,猫咪专区,猫咪主粮,国产粮,https://shop.boqii.com/product-532.html,132110,1.3kg,谷物、肉类、玉米蛋白粉,粗蛋白≥20%、粗脂肪≥16%、钙≥1.2%,成猫,标准粒,鱼肉,18个月,1.33KG,￥47.2
伟嘉 牛肉味成猫猫粮 1.3kg,¥42.90,¥47.20,4.9,555,0,//img-new.boqiicdn.com/Data/Shop/0/5/534/shoppicpath11582096087_y.jpg?imageView2/2/w/360/h/360/q/100/interlace/0,猫咪专区,猫咪主粮,国产粮,https://shop.boqii.com/product-534.html,132112,1.3kg,谷物、肉类/肉粉、玉米蛋白粉,粗蛋白质≥27%、粗脂肪≥10%、钙≥1.8%,成猫,标准粒,牛肉,18个月,1.32KG,￥47.2
佑达发育宝 犬猫用钙胃能 450g 补钙配方 增强体质,,,4.9,358,0,//img-new.boqiicdn.com/Data/Shop/0/5/562/shoppicpath11540867812_y.jpg?imageView2/2/w/360/h/360/q/100/interlace/0,狗狗专区,营养保健,补钙健骨,https://shop.boqii.com/product-562.html,154703,,,,全犬猫,,,3年,0.57KG,￥132.0
佑达发育宝-S 犬用整肠配方 350g 调理肠胃 促进幼犬发育,,,4.9,414,4,//img-new.boqiicdn.com/Data/Shop/0/5/563/shoppicpath11540868912_y.jpg?imageView2/2/w/360/h/360/q/100/interlace/0,猫咪专区,保健营养,肠胃调理,https://shop.boqii.com/product-563.html,154702,,,,犬,,,2年,0.35KG,￥196.9
福来恩 猫用体外驱虫滴剂 3支装/3个月剂量  法国进口,¥195.00,¥234.00,5.0,7260,6,//img-new.boqiicdn.com/Data/Shop/0/5/571/shoppicpath11599016969_y.jpg?imageView2/2/w/360/h/360/q/100/interlace/0,猫咪专区,医疗护理,内外驱虫,https://shop.boqii.com/product-571.html,178407,,,,8周龄以上猫,,,3年,0.04KG,￥234.0
